horizon,n_cases,n_seats_cases,mae_shares,mae_last_poll,mae_mean_4w,mae_prev_result,rmse_shares,bias_sum,cov_fc95,cov_shares50,cov_seats50,cov_shares80,cov_seats80,cov_shares95,cov_seats95,mae_seats,mae_seats_all,crps_seats,brier_vs,log_score_vs,cov_shares50_h,cov_seats50_h,cov_shares80_h,cov_seats80_h,cov_shares95_h,cov_seats95_h,mae_seats_h,crps_seats_h,brier_vs_h,log_score_vs_h
6,5,4,1.6074606087220804,1.7367999999999995,1.8575788737765868,5.7712,1.9410872532307262,0.5726053121269855,0.31,0.5666666666666667,0.6208333333333333,0.78,0.8875,0.96,1.0,6.404166666666667,2.8086080586080584,4.4624367,0.046392499999999996,0.1824248324007569,0.5666666666666667,0.6208333333333333,0.78,0.8875,0.96,1.0,6.320833333333333,4.459831483333334,0.046891999999999996,0.18448445889831944
14,5,4,1.9971974357012896,2.133333333333333,1.9663600162005508,5.7712,2.48909527874799,0.02659812025067616,0.20999999999999996,0.5,0.5875,0.7133333333333333,0.7541666666666667,0.8800000000000001,1.0,8.020833333333334,3.545879120879121,5.69213395,0.04981250000000001,0.1968853011921762,0.5,0.5875,0.7133333333333333,0.8041666666666667,0.8800000000000001,1.0,8.020833333333334,5.6911285,0.051113500000000006,0.20178644293589257
30,5,4,2.256022111730714,2.247066666666666,2.232190276260451,5.7712,2.882045416057823,0.45134576392294645,0.31,0.44000000000000006,0.42083333333333334,0.7300000000000001,0.7916666666666666,0.8366666666666667,0.9583333333333334,8.741666666666667,3.8543040293040294,6.33251365,0.0817735,0.27191978374581216,0.44000000000000006,0.42083333333333334,0.7300000000000001,0.7916666666666666,0.8366666666666667,0.9583333333333334,8.741666666666667,6.319557666666667,0.0808035,0.27360960450619254
60,5,4,2.827274185888492,3.0653333333333337,2.7680491452991456,5.7712,3.3970292651108074,0.6458293482833327,0.08,0.37666666666666665,0.30833333333333335,0.7533333333333333,0.7,0.8433333333333334,0.9166666666666666,11.716666666666667,5.092307692307692,8.302538316666666,0.09695949999999999,0.3113688769071323,0.37666666666666665,0.37083333333333335,0.7533333333333333,0.75,0.8433333333333334,0.9166666666666666,11.641666666666666,8.260978616666666,0.09880799999999998,0.3186391950889943
90,5,4,2.7246932709011165,2.7515666666666667,2.7900444444444443,5.7712,3.3293246970389405,0.3782977046010611,0.29333333333333333,0.32666666666666666,0.30833333333333335,0.7633333333333333,0.65,0.8433333333333334,0.8666666666666667,12.5625,5.482783882783883,8.991998683333332,0.1189655,0.3513406453640128,0.37666666666666665,0.37083333333333335,0.7633333333333333,0.7125,0.8933333333333333,0.9166666666666666,12.5,8.8999721,0.11901600000000001,0.35792360861930445
180,3,2,3.00057085839622,2.999166666666666,2.8775000000000013,7.753333333333334,3.6237932999664833,-1.247913427664831,0.15,0.3,0.35,0.65,0.675,0.8666666666666667,0.8,12.725,5.416666666666667,9.4252377,0.110695,0.32328951145193596,0.3666666666666667,0.35,0.65,0.8,0.8666666666666667,0.8,12.675,9.279901899999999,0.112766,0.34587076473390765
