event_date,horizon,block,parties,official_seats,model_seats,p_majority,majority,brier,log_score,seats_valid,model_seats_h,p_majority_h,brier_h,log_score_h
2019-11-10,6,Derecha,PP+VOX+Cs,151.0,152.0,0.026,False,0.000676,0.026343975339601977,True,152.0,0.028,0.0007840000000000001,0.028399474521698
2019-11-10,6,Izquierda,PSOE+UP+MP,158.0,160.0,0.102,False,0.010403999999999998,0.10758521067993743,True,160.0,0.104,0.010816,0.10981486600720657
2019-11-10,14,Derecha,PP+VOX+Cs,151.0,153.0,0.054,False,0.0029159999999999998,0.05551270993025883,True,153.0,0.054,0.0029159999999999998,0.05551270993025883
2019-11-10,14,Izquierda,PSOE+UP+MP,158.0,157.0,0.082,False,0.006724000000000001,0.08555788836164654,True,157.0,0.088,0.007743999999999999,0.09211528890780563
2019-11-10,30,Derecha,PP+VOX+Cs,151.0,149.0,0.024,False,0.000576,0.024292692569044587,True,149.0,0.034,0.0011560000000000001,0.03459144476961909
2019-11-10,30,Izquierda,PSOE+UP+MP,158.0,164.0,0.218,False,0.047524,0.24590053843682594,True,164.0,0.228,0.051984,0.25877072895736086
2019-11-10,60,Derecha,PP+VOX+Cs,151.0,139.0,0.016,False,0.000256,0.016129381929883644,True,139.0,0.02,0.0004,0.020202707317519466
2019-11-10,60,Izquierda,PSOE+UP+MP,158.0,175.0,0.508,False,0.258064,0.709276562489829,True,175.0,0.51,0.2601,0.7133498878774648
2019-11-10,90,Derecha,PP+VOX+Cs,151.0,142.0,0.014,False,0.00019600000000000002,0.014098924379501648,True,142.0,0.024,0.000576,0.024292692569044587
2019-11-10,90,Izquierda,PSOE+UP+MP,158.0,172.0,0.44,False,0.1936,0.579818495252942,True,172.0,0.44,0.1936,0.579818495252942
2023-07-23,6,Derecha,PP+VOX,170.0,173.0,0.46,False,0.2116,0.616186139423817,True,173.0,0.462,0.21344400000000002,0.6198967188203526
2023-07-23,6,Izquierda,PSOE+SUMAR,152.0,145.0,0.002,False,4e-06,0.0020020026706730793,True,145.0,0.002,4e-06,0.0020020026706730793
2023-07-23,14,Derecha,PP+VOX,170.0,174.0,0.484,False,0.234256,0.6616485135005743,True,174.0,0.476,0.22657599999999997,0.6462635946610948
2023-07-23,14,Izquierda,PSOE+SUMAR,152.0,142.0,0.006,False,3.6e-05,0.006018072325563021,True,142.0,0.006,3.6e-05,0.006018072325563021
2023-07-23,30,Derecha,PP+VOX,170.0,181.0,0.684,False,0.46785600000000005,1.1520130653952252,True,180.0,0.668,0.44622400000000007,1.1026203100656486
2023-07-23,30,Izquierda,PSOE+SUMAR,152.0,135.0,0.0,False,0.0,0.0010005003335835344,True,136.0,0.002,4e-06,0.0020020026706730793
2023-07-23,60,Derecha,PP+VOX,170.0,177.0,0.534,False,0.285156,0.7635696448564913,True,176.0,0.53,0.28090000000000004,0.7550225842780328
2023-07-23,60,Izquierda,PSOE+SUMAR,152.0,140.0,0.01,False,0.0001,0.01005033585350145,True,140.0,0.016,0.000256,0.016129381929883644
2023-07-23,90,Derecha,PP+VOX,170.0,178.0,0.614,False,0.376996,0.9519179095173061,True,178.0,0.6,0.36,0.916290731874155
2023-07-23,90,Izquierda,PSOE+SUMAR,152.0,137.0,0.002,False,4e-06,0.0020020026706730793,True,137.0,0.01,0.0001,0.01005033585350145
2023-07-23,180,Derecha,PP+VOX,170.0,179.0,0.616,False,0.379456,0.9571127263944101,True,179.0,0.598,0.357604,0.9113031903631159
2023-07-23,180,Izquierda,PSOE+SUMAR,152.0,137.0,0.004,False,1.6e-05,0.004008021397538822,True,136.0,0.02,0.0004,0.020202707317519466
