code,region,population
1,Andalucía,8414240
2,Aragón,1319291
3,Asturias,1022800
4,Baleares,1149460
5,Canarias,2153389
6,Cantabria,581078
7,C. La Mancha,2032863
8,C. León,2399548
9,Cataluña,7675217
10,Extremadura,1067710
11,Galicia,2699499
12,Madrid,6663394
13,Navarra,654214
14,País Vasco,2207776
15,Murcia,1493898
16,La Rioja,316798
17,Valencia,5003769
18,Ceuta,84777
19,Melilla,86487
